ws_id,payment
1101,
1102,never pay
1103,pay monthly
1104,never pay
1105,
1106,never pay
1107,pay annually
1108,never pay
1109,pay monthly
1110,pay monthly
1112,pay monthly
1113,pay monthly
1114,pay monthly
1115,never pay
1116,never pay
1117,other
1119,never pay
1120,never pay
1121,never pay
1123,pay annually
1124,never pay
1126,never pay
1127,never pay
1128,pay annually
1129,pay per bucket
1130,never pay
1131,pay monthly
1132,never pay
1133,never pay
1134,pay monthly
1135,never pay
1136,
1137,never pay
1138,never pay
1139,never pay
1140,never pay
1141,
1142,never pay
1143,pay per bucket
1144,never pay
1145,
1146,pay monthly
1147,pay per bucket
1148,
1149,pay per bucket
1150,never pay
1151,never pay
1152,pay when scheme fails
1153,never pay
1154,pay monthly
1156,pay monthly
1157,pay when scheme fails
1158,never pay
1159,
1161,pay monthly
1162,pay monthly
1163,never pay
1164,never pay
1166,pay per bucket
1167,pay annually
1169,
1170,pay when scheme fails
1171,never pay
1173,never pay
1174,pay monthly
1175,pay per bucket
1176,never pay
1177,never pay
1178,pay per bucket
1179,never pay
1180,
1181,
1182,never pay
1183,never pay
1184,pay per bucket
1185,pay monthly
1186,
1187,never pay
1188,never pay
1189,never pay
1190,never pay
1192,pay per bucket
1193,never pay
1194,
1195,
1196,never pay
1197,pay per bucket
1198,never pay
1199,pay per bucket
1200,pay per bucket
1201,pay monthly
1202,never pay
1204,never pay
1205,never pay
1206,never pay
1207,pay monthly
1209,never pay
1211,never pay
1212,never pay
1213,
1214,never pay
1215,pay per bucket
1216,never pay
1218,never pay
1219,never pay
1220,never pay
1221,
1222,
1223,pay per bucket
1224,pay monthly
1225,
1226,never pay
1227,never pay
1228,never pay
1229,never pay
1231,never pay
1232,
1233,never pay
1234,
1235,never pay
1237,never pay
1238,never pay
1239,never pay
1241,pay monthly
1242,pay monthly
1243,pay monthly
1244,never pay
1245,never pay
1246,pay monthly
1247,never pay
1248,never pay
1249,
1251,
1253,never pay
1254,never pay
1255,never pay
1256,pay monthly
1257,
1258,never pay
1259,pay per bucket
1260,pay per bucket
1261,never pay
1262,never pay
1263,pay per bucket
1264,
1265,
1266,never pay
1267,pay monthly
1268,pay monthly
1269,pay annually
1270,pay when scheme fails
1271,pay monthly
1272,never pay
1273,pay per bucket
1274,never pay
1275,pay monthly
1276,never pay
1277,never pay
1278,pay per bucket
1279,pay per bucket
1280,never pay
1281,pay per bucket
1282,
1283,pay monthly
1286,never pay
1287,
1288,pay when scheme fails
1289,pay monthly
1290,pay per bucket
1291,never pay
1292,never pay
1293,never pay
1294,never pay
1295,pay per bucket
1298,pay monthly
1299,pay per bucket
1300,
1301,never pay
1302,
1304,never pay
1305,
1307,never pay
1308,never pay
1309,pay per bucket
1310,pay per bucket
1311,pay annually
1312,
1313,never pay
1314,pay monthly
1315,pay monthly
1316,pay monthly
1317,pay monthly
1318,never pay
1319,pay per bucket
1320,never pay
1321,never pay
1322,never pay
1323,pay per bucket
1324,never pay
1325,never pay
1327,pay monthly
1328,never pay
1329,never pay
1330,never pay
1331,pay monthly
1332,pay monthly
1335,never pay
1336,never pay
1337,pay per bucket
1338,never pay
1339,
1340,pay per bucket
1341,
1342,pay annually
1343,never pay
1344,pay per bucket
1345,
1346,never pay
1347,never pay
1348,pay per bucket
1349,never pay
1350,never pay
1351,pay per bucket
1352,pay annually
1353,other
1354,pay per bucket
1355,pay per bucket
1356,pay monthly
1357,never pay
1358,pay monthly
1359,never pay
1360,never pay
1361,pay per bucket
1362,pay per bucket
1363,
1365,pay monthly
1366,pay annually
1367,pay monthly
1368,
1369,never pay
1370,never pay
1371,pay monthly
1372,
1373,never pay
1374,pay monthly
1375,pay when scheme fails
1376,pay monthly
1377,never pay
1378,never pay
1379,never pay
1380,
1381,pay when scheme fails
1382,never pay
1383,pay per bucket
1384,never pay
1385,never pay
1386,pay annually
1387,never pay
1388,pay when scheme fails
1389,never pay
1390,never pay
1391,pay per bucket
1392,
1393,never pay
1394,pay per bucket
1395,pay monthly
1396,pay per bucket
1397,pay monthly
1398,pay per bucket
1399,pay per bucket
1400,pay annually
1401,
1402,never pay
1403,pay monthly
1404,never pay
1405,never pay
1406,pay annually
1407,
1408,pay per bucket
1409,pay per bucket
1410,never pay
1411,never pay
1412,pay annually
1413,
1414,pay when scheme fails
1415,
1416,never pay
1417,pay per bucket
1418,never pay
1419,
1420,never pay
1421,pay per bucket
1422,never pay
1423,never pay
1425,pay annually
1426,never pay
1428,never pay
1429,pay monthly
1430,never pay
1431,never pay
1432,pay when scheme fails
1433,never pay
1434,pay monthly
1435,pay annually
1436,never pay
1437,never pay
1438,
1439,
1440,never pay
1441,never pay
1442,never pay
1443,never pay
1444,never pay
1445,never pay
1446,other
1447,pay per bucket
1450,pay per bucket
1451,pay when scheme fails
1452,pay annually
1453,never pay
1455,never pay
1456,
1457,pay per bucket
1458,never pay
1459,never pay
1460,never pay
1461,pay annually
1462,
1464,pay monthly
1466,never pay
1467,never pay
1468,never pay
1469,never pay
1470,pay monthly
1471,pay per bucket
1472,pay when scheme fails
1473,never pay
1474,never pay
1475,pay annually
1476,never pay
1477,
1478,
1479,pay per bucket
1480,never pay
1481,pay annually
1482,pay per bucket
1483,never pay
1484,pay when scheme fails
1485,pay monthly
1486,pay per bucket
1487,never pay
1488,pay per bucket
1490,pay per bucket
1491,never pay
1492,never pay
1493,pay monthly
1494,pay monthly
1495,pay monthly
1496,pay per bucket
1497,
1498,pay annually
1499,never pay
1500,never pay
1501,pay per bucket
1503,
1504,never pay
1505,never pay
1506,never pay
1507,pay per bucket
1508,never pay
1509,never pay
1510,pay monthly
1511,pay when scheme fails
1513,never pay
1515,pay monthly
1516,pay per bucket
1517,pay monthly
1518,never pay
1519,never pay
1520,never pay
1521,pay when scheme fails
1522,pay per bucket
1523,pay annually
1524,
1527,pay per bucket
1528,pay monthly
1529,never pay
1530,
1531,never pay
1532,pay monthly
1533,never pay
1534,never pay
1535,never pay
1536,never pay
1537,pay monthly
1538,pay per bucket
1539,pay monthly
1540,
1541,pay per bucket
1542,pay per bucket
1543,never pay
1544,never pay
1545,
1546,never pay
1547,pay per bucket
1548,never pay
1550,never pay
1551,never pay
1552,never pay
1553,never pay
1554,never pay
1555,
1556,pay per bucket
1557,
1558,pay monthly
1559,pay per bucket
1560,
1562,pay monthly
1563,pay when scheme fails
1564,never pay
1565,
1566,
1567,never pay
1569,
1570,never pay
1572,
1573,pay per bucket
1574,
1575,never pay
1576,never pay
1577,pay monthly
1578,pay when scheme fails
1579,pay monthly
1580,never pay
1581,pay monthly
1582,never pay
1583,pay per bucket
1584,never pay
1585,pay per bucket
1586,pay per bucket
1587,never pay
1588,never pay
1589,pay per bucket
1590,never pay
1591,never pay
1592,
1593,never pay
1594,pay monthly
1595,never pay
1596,pay per bucket
1597,pay per bucket
1598,
1599,
1601,other
1602,never pay
1603,pay per bucket
1604,
1605,never pay
1607,
1609,pay per bucket
1610,never pay
1612,pay monthly
1613,pay per bucket
1614,pay per bucket
1615,
1616,never pay
1617,pay annually
1618,pay monthly
1619,
1620,pay monthly
1621,never pay
1622,
1623,
1624,never pay
1625,
1626,pay monthly
1627,never pay
1628,never pay
1629,never pay
1631,never pay
1632,never pay
1633,pay monthly
1634,pay per bucket
1636,pay monthly
1637,never pay
1638,
1639,never pay
1640,pay when scheme fails
1641,
1642,never pay
1643,pay annually
1644,
1645,never pay
1646,pay per bucket
1647,
1648,never pay
1649,never pay
1650,
1651,never pay
1652,never pay
1653,
1654,never pay
1655,pay per bucket
1656,pay monthly
1657,pay per bucket
1658,never pay
1659,pay when scheme fails
1660,
1661,other
1662,never pay
1663,never pay
1664,never pay
1665,never pay
1666,never pay
1667,other
1668,pay per bucket
1670,never pay
1671,never pay
1672,never pay
1673,
1674,never pay
1675,never pay
1676,pay per bucket
1677,never pay
1678,other
1679,never pay
1680,never pay
1681,never pay
1682,never pay
1683,never pay
1684,never pay
1685,pay per bucket
1686,pay annually
1687,pay annually
1688,never pay
1689,pay when scheme fails
1690,pay monthly
1692,
1693,pay per bucket
1695,pay monthly
1696,pay when scheme fails
1697,never pay
1698,never pay
1700,never pay
1701,pay per bucket
1702,pay per bucket
1703,never pay
1704,
1705,never pay
1706,never pay
1707,
1708,pay monthly
1709,never pay
1710,pay monthly
1711,
1712,pay monthly
1713,
1714,pay monthly
1715,pay per bucket
1716,pay per bucket
1717,
1718,pay when scheme fails
1719,never pay
1720,never pay
1721,never pay
1722,pay when scheme fails
1723,pay when scheme fails
1724,never pay
1725,pay monthly
1726,never pay
1727,never pay
1728,never pay
1729,never pay
1730,pay annually
1731,pay monthly
1733,pay monthly
1734,pay monthly
1735,never pay
1736,
1737,never pay
1739,never pay
1740,pay per bucket
1741,pay per bucket
1742,pay when scheme fails
1743,never pay
1744,pay monthly
1746,pay when scheme fails
1747,never pay
1748,never pay
1749,
1750,
1752,pay monthly
1753,never pay
1754,pay monthly
1755,never pay
1756,pay monthly
1757,
1758,pay monthly
1759,never pay
1760,never pay
1761,never pay
1762,pay per bucket
1763,pay monthly
1764,
1765,
1766,pay when scheme fails
1767,never pay
1768,never pay
1769,pay per bucket
1770,never pay
1772,pay per bucket
1773,never pay
1775,
1776,never pay
1777,never pay
1778,never pay
1779,pay per bucket
1780,pay per bucket
1781,
1782,never pay
1783,never pay
1784,never pay
1785,never pay
1786,pay monthly
1788,
1789,pay monthly
1790,never pay
1791,
1792,never pay
1793,never pay
1794,
1795,never pay
1796,never pay
1797,pay when scheme fails
1798,never pay
1799,never pay
1800,
1801,never pay
1802,pay per bucket
1804,pay annually
1805,pay per bucket
1806,pay per bucket
1807,pay per bucket
1808,never pay
1809,pay per bucket
1811,pay monthly
1812,never pay
1813,never pay
1814,pay when scheme fails
1815,pay per bucket
1816,never pay
1817,never pay
1818,never pay
1819,pay per bucket
1820,pay when scheme fails
1821,pay monthly
1822,never pay
1823,pay annually
1824,pay per bucket
1825,pay per bucket
1826,
1827,never pay
1828,pay per bucket
1829,pay monthly
1831,never pay
1832,pay per bucket
1833,pay monthly
1834,pay per bucket
1835,pay per bucket
1836,pay monthly
1837,never pay
1838,pay per bucket
1839,pay monthly
1840,pay per bucket
1841,
1842,pay per bucket
1843,pay annually
1844,pay per bucket
1845,pay per bucket
1846,never pay
1848,pay per bucket
1849,other
1850,never pay
1851,
1852,
1853,pay per bucket
1854,never pay
1855,
1856,pay monthly
1857,pay per bucket
1858,never pay
1859,pay annually
1861,pay when scheme fails
1862,pay when scheme fails
1863,pay monthly
1864,never pay
1865,never pay
1866,
1868,pay per bucket
1869,never pay
1870,other
1871,never pay
1872,never pay
1874,pay monthly
1875,pay when scheme fails
1876,pay when scheme fails
1877,pay annually
1878,
1879,pay monthly
1880,pay per bucket
1881,pay monthly
1882,never pay
1883,never pay
1884,never pay
1885,never pay
1886,
1887,never pay
1888,
1889,never pay
1890,pay per bucket
1891,never pay
1892,never pay
1893,
1895,
1896,never pay
1897,
1898,never pay
1899,pay per bucket
1900,pay monthly
1901,pay per bucket
1902,never pay
1903,pay monthly
1904,never pay
1905,never pay
1906,pay when scheme fails
1907,never pay
1908,never pay
1911,
1912,never pay
1913,never pay
1914,pay per bucket
1915,pay monthly
1916,
1917,pay per bucket
1919,never pay
1920,never pay
1921,never pay
1922,never pay
1924,pay monthly
1926,
1927,pay annually
1928,pay per bucket
1929,never pay
1931,never pay
1932,pay monthly
1933,never pay
1934,pay per bucket
1935,pay per bucket
1938,never pay
1939,never pay
1940,pay per bucket
1941,never pay
1942,pay monthly
1943,never pay
1944,pay per bucket
1945,pay per bucket
1946,never pay
1947,
1948,pay monthly
1949,never pay
1950,never pay
1951,pay per bucket
1952,pay per bucket
1953,
1954,pay monthly
1955,never pay
1956,never pay
1957,never pay
1959,never pay
1960,never pay
1961,
1962,never pay
1963,never pay
1964,pay when scheme fails
1965,never pay
1967,never pay
1968,other
1970,
1971,never pay
1972,pay monthly
1973,pay monthly
1975,never pay
1976,pay per bucket
1977,never pay
1978,never pay
1979,other
1980,pay monthly
1982,never pay
1983,never pay
1984,pay per bucket
1985,pay per bucket
1986,never pay
1987,never pay
1988,never pay
1991,never pay
1992,pay annually
1993,
1994,never pay
1995,pay per bucket
1996,
1997,never pay
1998,pay per bucket
1999,pay monthly
2000,other
2002,never pay
2003,
2004,pay when scheme fails
2005,pay when scheme fails
2006,pay per bucket
2007,never pay
2008,never pay
2009,
2010,pay when scheme fails
2011,never pay
2012,pay annually
2013,pay monthly
2014,pay monthly
2015,never pay
2016,pay per bucket
2017,never pay
2018,pay when scheme fails
2019,
2020,never pay
2021,
2022,
2023,pay per bucket
2024,never pay
2025,pay when scheme fails
2026,pay annually
2027,never pay
2028,pay when scheme fails
2029,never pay
2030,pay per bucket
2031,pay per bucket
2032,
2034,never pay
2035,pay per bucket
2036,pay when scheme fails
2037,pay per bucket
2038,pay monthly
2039,never pay
2040,never pay
2041,never pay
2042,pay monthly
2043,pay when scheme fails
2044,never pay
2046,never pay
2047,
2048,pay monthly
2049,pay monthly
2050,never pay
2051,
2052,pay monthly
2053,pay when scheme fails
2054,
2055,pay per bucket
2056,pay monthly
2057,never pay
2059,pay monthly
2060,pay monthly
2061,never pay
2062,never pay
2063,pay per bucket
2064,
2065,never pay
2066,never pay
2067,pay per bucket
2068,never pay
2069,
2070,
2071,pay per bucket
2072,never pay
2073,never pay
2074,pay per bucket
2075,never pay
2076,pay per bucket
2077,pay per bucket
2078,pay when scheme fails
2079,never pay
2080,
2081,pay monthly
2082,pay monthly
2083,pay when scheme fails
2084,pay monthly
2085,
2086,pay monthly
2087,pay per bucket
2090,pay when scheme fails
2091,pay monthly
2092,
2093,pay monthly
2094,pay per bucket
2095,pay per bucket
2096,never pay
2097,never pay
2098,never pay
2099,
2100,pay per bucket
2101,never pay
2102,pay per bucket
2103,never pay
2104,pay per bucket
2105,pay monthly
2106,pay per bucket
2107,never pay
2108,never pay
2109,never pay
2110,never pay
2111,pay monthly
2112,never pay
2113,never pay
2114,
2115,
2117,pay when scheme fails
2118,never pay
2119,pay monthly
2120,pay when scheme fails
2121,pay monthly
2122,never pay
2123,never pay
2124,pay monthly
2125,pay per bucket
2126,pay annually
2127,never pay
2128,never pay
2129,pay per bucket
2130,
2131,pay per bucket
2132,
2133,pay monthly
2134,pay per bucket
2135,never pay
2136,pay monthly
2137,never pay
2138,pay annually
2139,pay annually
2140,
