inspection_id,date_recorded,ws_id,status_group
69107,2011-07-11,136,non functional
64062,2013-01-25,137,non functional
44002,2011-07-16,138,functional
37471,2011-07-22,139,functional
49585,2011-10-07,140,non functional
60852,2011-03-17,141,functional
64130,2012-10-23,142,non functional
17687,2011-08-03,143,functional
38876,2011-02-24,144,non functional
28669,2013-03-21,145,functional
73769,2011-08-02,146,functional needs repair
53167,2013-01-24,148,non functional
24232,2011-04-07,149,functional
65788,2012-10-21,150,functional
72981,2011-04-16,151,functional
60983,2013-03-16,152,non functional
37768,2013-02-22,153,non functional
64880,2013-02-03,154,functional
32871,2013-02-24,155,non functional
45564,2011-04-02,156,functional
23519,2012-10-19,157,functional needs repair
50173,2012-10-20,158,functional
66843,2013-01-30,159,functional
13815,2011-03-03,160,functional
36591,2011-08-17,161,non functional
71845,2011-03-28,162,functional
42180,2013-01-21,163,functional
63632,2011-07-23,164,functional
55594,2013-01-25,165,functional
11787,2012-10-23,166,functional
48528,2013-02-06,167,non functional
50970,2013-02-05,169,functional
37840,2013-02-27,170,functional
44258,2011-08-11,171,non functional
10715,2011-03-09,172,functional
12120,2011-03-18,173,functional
67980,2011-03-11,174,non functional
41635,2011-07-16,175,functional
14884,2013-03-07,176,functional
33037,2011-08-14,178,functional
22190,2011-03-12,179,non functional
68908,2011-03-05,181,functional
62670,2013-09-03,182,functional
60866,2011-08-17,183,non functional
2136,2011-02-22,184,functional
58126,2011-04-03,186,non functional
45604,2011-07-09,187,functional
67428,2011-04-12,188,functional needs repair
52318,2011-04-14,189,functional
33347,2013-01-25,190,non functional
112,2011-03-14,193,non functional
4807,2011-04-14,194,functional
41845,2013-02-22,195,functional
6065,2013-03-25,196,functional
37187,2013-02-28,197,non functional
26540,2013-01-18,198,non functional
8879,2012-10-10,199,functional needs repair
30377,2011-08-01,200,functional
20203,2013-02-27,201,non functional
8060,2011-02-22,202,functional
59630,2011-07-03,203,functional
10068,2011-07-27,204,functional needs repair
34609,2011-08-05,205,non functional
26701,2011-07-20,206,functional
46897,2013-03-13,207,functional
34636,2011-03-15,208,non functional
52520,2013-03-18,209,functional
75,2011-01-04,210,non functional
31626,2011-07-18,211,non functional
3181,2013-01-20,212,non functional
43098,2011-04-04,213,non functional
37008,2013-03-03,214,functional needs repair
34853,2011-11-07,215,non functional
48752,2013-04-04,216,functional needs repair
31132,2012-10-16,217,functional
37562,2013-03-23,218,functional
28740,2011-04-10,219,functional needs repair
30257,2013-01-15,220,functional
53212,2013-03-21,221,functional needs repair
40729,2013-04-03,222,non functional
48695,2013-02-08,223,functional
35140,2011-03-21,224,non functional
46814,2013-01-22,225,functional
7721,2011-04-05,226,functional
63695,2013-01-16,227,functional
7171,2012-10-15,228,functional
58838,2011-08-07,229,functional
61046,2011-04-02,230,functional
14746,2013-01-16,232,functional needs repair
14952,2013-01-20,233,non functional
64334,2013-02-19,234,non functional
72374,2011-03-28,235,non functional
33169,2013-02-14,236,non functional
4907,2011-02-27,237,functional needs repair
49994,2011-04-14,238,functional needs repair
59588,2011-08-08,239,non functional
46893,2011-03-30,240,non functional
16944,2011-07-11,241,non functional
35828,2011-03-30,242,non functional
24377,2011-03-02,243,non functional
70241,2011-08-04,245,non functional
39490,2011-03-19,247,functional
21704,2013-06-03,248,functional
35193,2011-03-16,249,non functional
24948,2011-03-27,250,functional
6076,2013-01-22,251,functional
18451,2013-03-29,252,non functional
10891,2012-10-28,255,non functional
1012,2013-02-03,257,non functional
41162,2011-07-15,259,non functional
31957,2011-07-11,260,non functional
15815,2013-01-19,261,non functional
47462,2011-04-02,262,non functional
28110,2012-10-12,263,non functional
52448,2011-03-18,264,functional
18832,2013-03-14,265,non functional
62720,2013-02-14,266,functional needs repair
14326,2013-03-16,267,functional
36933,2011-03-28,268,functional
65093,2013-01-22,269,functional
50139,2011-07-29,270,non functional
36455,2012-10-10,271,non functional
49732,2011-08-06,272,functional
20200,2012-10-13,273,functional
43777,2013-01-16,274,functional
42497,2013-02-14,275,non functional
52601,2011-03-21,276,functional
65530,2011-03-13,277,non functional
73024,2013-03-02,278,functional
18842,2011-07-22,279,functional needs repair
9474,2013-02-12,280,functional
44434,2013-01-29,281,functional
36366,2012-10-10,282,functional
47236,2013-01-04,283,non functional
8633,2013-02-03,284,functional needs repair
46268,2013-02-24,286,non functional
36093,2012-11-13,287,functional
2591,2013-02-01,288,functional
69669,2013-02-08,289,non functional
67377,2011-08-10,290,non functional
51185,2013-01-28,291,non functional
24049,2013-08-03,292,functional
70835,2013-03-15,293,functional
74176,2013-03-17,294,functional
68037,2011-04-12,295,functional
10992,2013-01-27,296,non functional
64793,2011-07-09,298,non functional
40808,2013-02-01,299,non functional
62565,2011-07-30,300,functional
10089,2012-10-12,302,functional
37364,2011-07-15,303,non functional
43345,2012-10-23,304,functional
39310,2011-07-17,305,non functional
28945,2011-08-04,307,functional needs repair
5074,2013-02-21,308,functional needs repair
54009,2011-02-21,309,non functional
35563,2013-02-12,310,non functional
17668,2011-04-03,311,non functional
30390,2011-07-14,312,non functional
1298,2011-07-31,313,non functional
2993,2011-02-17,314,non functional
63712,2013-02-05,315,non functional
61979,2011-08-19,316,functional
39704,2013-02-15,317,non functional
29191,2011-03-13,318,non functional
35649,2011-04-04,319,functional needs repair
15840,2013-02-02,320,functional needs repair
8055,2011-04-12,322,functional
33963,2013-02-21,324,functional
21669,2011-07-29,325,non functional
337,2013-01-26,327,functional
17861,2013-02-17,328,functional
13195,2011-04-06,329,non functional
54722,2013-01-18,330,non functional
2845,2011-08-04,331,functional
17111,2011-03-27,332,functional
21338,2012-10-23,333,functional
49326,2012-10-05,334,functional
15358,2013-02-09,335,functional
33040,2011-03-19,336,non functional
40592,2011-04-04,337,non functional
29513,2011-03-23,338,functional
51163,2011-08-21,339,functional
40920,2012-10-15,340,functional
65101,2011-03-09,341,functional
21127,2011-03-16,342,non functional
67822,2013-11-03,343,functional
14135,2013-02-21,344,functional
10458,2013-03-24,345,non functional
8230,2013-10-03,347,non functional
43433,2013-10-02,348,functional
62188,2011-04-01,349,functional
19,2013-02-23,350,functional
26577,2013-02-20,351,functional
68887,2011-04-08,352,functional needs repair
9382,2013-01-30,353,functional
65238,2013-02-11,354,functional needs repair
17897,2011-03-29,355,functional needs repair
29744,2013-03-14,356,non functional
23987,2011-07-17,357,functional needs repair
26655,2011-04-12,358,non functional
17978,2013-03-14,359,functional
51558,2011-03-25,360,non functional
48007,2013-03-01,361,non functional
13969,2012-10-13,363,functional
39548,2013-02-19,364,non functional
25143,2011-03-31,365,functional
25736,2013-05-04,366,functional
17516,2013-01-21,367,functional
66980,2012-11-05,368,functional
45444,2011-03-12,369,functional
59102,2013-03-17,371,functional
61883,2011-03-14,372,functional
93,2013-02-26,373,functional
15988,2011-09-04,374,non functional
19304,2011-03-04,375,non functional
44092,2013-02-14,376,functional
66242,2011-03-24,377,functional needs repair
51611,2013-02-13,378,functional needs repair
53847,2011-03-20,379,functional
67634,2013-02-12,380,functional
24757,2013-03-16,381,functional needs repair
37524,2013-03-04,382,functional
16341,2012-10-21,383,functional
39176,2011-03-19,384,functional
24836,2013-02-03,385,functional
73470,2011-04-08,386,non functional
11533,2012-10-26,387,non functional
74217,2013-06-04,388,functional
4101,2011-08-14,390,functional
17041,2011-08-20,391,non functional
38725,2011-04-16,392,functional
39749,2013-03-18,393,non functional
62642,2013-03-25,394,non functional
49453,2013-03-29,395,functional
65932,2013-02-07,397,non functional
56863,2013-02-26,398,non functional
23835,2011-03-19,399,functional
34870,2013-02-05,400,non functional
39915,2013-03-19,401,functional
9736,2011-07-24,402,functional
70019,2011-07-25,403,non functional
20984,2011-08-04,404,non functional
20132,2013-02-07,405,functional
5963,2013-02-23,406,functional
26943,2011-03-17,408,functional needs repair
43742,2013-02-17,409,functional
5784,2011-08-06,410,non functional
5121,2011-03-18,412,non functional
57478,2011-07-12,413,functional
58537,2013-02-21,414,functional needs repair
4062,2011-07-30,416,functional
15832,2013-03-22,417,non functional
34741,2013-08-02,418,functional
67097,2011-03-04,419,functional
4437,2013-09-03,420,functional
65817,2013-03-17,421,functional
39559,2011-03-21,422,non functional
54412,2011-04-08,423,functional
25344,2011-02-23,424,non functional
2301,2013-03-15,425,non functional
32844,2013-03-14,426,non functional
59874,2011-07-28,427,non functional
50233,2013-03-12,428,non functional
29639,2011-04-01,429,functional
65584,2013-03-30,430,functional
43808,2012-10-13,431,non functional
6788,2013-02-13,432,functional
16872,2011-07-27,434,functional needs repair
66383,2013-12-03,435,non functional
58599,2013-02-04,436,functional
29383,2012-10-10,437,non functional
36809,2011-02-20,438,non functional
29753,2011-07-13,439,functional
72112,2013-01-22,440,non functional
34926,2013-01-19,441,non functional
59898,2011-03-26,442,functional needs repair
68126,2011-03-08,444,functional
48102,2013-02-21,445,functional needs repair
24794,2011-04-04,446,functional
29771,2011-08-08,447,functional
29052,2013-01-29,448,functional
4923,2011-04-03,449,functional
38642,2013-01-25,450,non functional
27079,2011-04-02,451,functional
60111,2011-04-16,452,functional
12478,2013-03-18,453,non functional
67155,2012-10-11,454,functional
54733,2013-02-06,455,functional
45654,2011-03-19,456,non functional
54678,2011-04-14,457,functional
1439,2013-01-25,458,functional
16313,2012-10-21,459,functional
6735,2013-03-25,460,functional
3328,2011-02-27,461,non functional
1220,2011-07-18,462,functional
57970,2013-02-03,463,functional
44204,2013-03-06,464,functional
63675,2013-01-04,465,functional
40519,2013-02-11,466,non functional
66382,2013-02-18,467,functional
45386,2013-01-23,468,non functional
43604,2011-03-23,469,non functional
59053,2011-03-12,470,functional
1030,2011-07-19,471,non functional
52677,2012-11-04,472,functional
1738,2011-03-10,473,functional
19548,2011-08-01,474,functional
27523,2011-02-24,476,functional
815,2013-02-04,477,functional
14910,2013-02-17,478,non functional
11184,2013-02-24,479,functional
49071,2013-03-16,480,functional needs repair
22000,2012-10-02,481,functional
60074,2013-02-03,482,functional needs repair
60374,2013-04-04,483,non functional
25913,2011-03-09,484,functional
6205,2011-02-24,485,non functional
48390,2013-06-04,486,non functional
3980,2011-04-16,487,non functional
11905,2013-03-19,488,functional
31264,2013-02-01,490,functional
16537,2012-10-23,491,functional
9096,2011-07-14,492,functional needs repair
33104,2013-02-13,493,functional
11754,2012-10-07,494,non functional
4147,2013-02-09,495,non functional
53577,2013-03-25,496,functional needs repair
68995,2013-01-28,498,non functional
32255,2011-03-24,499,non functional
8699,2011-04-18,500,functional
1203,2011-08-03,501,functional
70666,2013-02-28,502,non functional
26293,2013-03-18,503,non functional
44358,2013-03-05,504,non functional
64687,2013-02-14,505,non functional
71489,2012-11-15,506,non functional
61994,2013-03-15,507,functional
42306,2011-08-12,508,non functional
67453,2013-02-04,509,functional
11581,2013-01-23,510,non functional
14123,2013-02-18,511,functional needs repair
18266,2011-08-03,512,functional
59263,2013-03-18,513,functional
6387,2011-04-01,514,functional
28359,2011-03-05,515,non functional
17571,2013-03-02,516,functional
53558,2013-03-13,517,functional
66967,2012-10-12,518,functional
72238,2011-03-13,519,functional
12207,2013-02-25,520,functional
68495,2011-08-23,521,functional
19283,2011-02-24,522,functional
38565,2013-02-05,523,non functional
3522,2012-10-08,524,functional
21927,2011-04-01,525,non functional
60029,2013-02-06,526,non functional
26851,2011-03-20,527,functional
41968,2013-01-28,528,functional
54983,2012-10-15,530,functional
68333,2011-03-04,531,functional
65944,2011-03-23,532,non functional
5947,2011-04-10,533,functional
42347,2011-03-11,534,functional
67371,2011-04-02,535,non functional
64048,2013-03-06,536,functional
42733,2011-03-07,537,non functional
4133,2011-04-12,538,non functional
50124,2011-03-04,539,non functional
69502,2011-03-19,540,non functional
45876,2011-04-12,541,functional
52402,2011-07-13,542,non functional
19232,2013-03-05,545,non functional
65266,2013-02-27,546,functional
53972,2013-03-26,548,functional needs repair
59369,2011-03-19,549,non functional
21737,2011-07-13,550,functional
13211,2013-01-29,551,non functional
30174,2011-04-16,553,functional
70930,2013-01-21,554,functional
36823,2012-10-18,555,non functional
63746,2011-04-11,556,functional
24331,2011-03-19,557,functional
41174,2011-07-24,558,functional
70070,2013-02-25,559,functional needs repair
31332,2011-03-29,560,functional
11011,2011-03-23,561,functional
12245,2011-03-04,562,functional
68493,2013-03-07,563,non functional
5946,2011-02-23,564,non functional
27334,2011-03-18,565,non functional
60626,2013-01-24,566,functional
49196,2011-04-04,568,functional
26839,2013-02-12,569,functional
58681,2013-02-05,570,non functional
70584,2012-10-21,571,functional
6758,2012-12-14,572,functional
65476,2013-01-16,573,functional needs repair
63687,2011-02-25,574,non functional
49678,2013-02-22,575,non functional
57948,2011-03-07,576,non functional
4526,2011-02-20,578,non functional
51133,2011-03-11,579,functional
70054,2012-10-23,580,non functional
48080,2013-01-20,581,functional
12552,2011-02-14,582,functional
52707,2011-04-12,583,functional
68660,2011-07-28,584,non functional
64257,2013-02-05,585,non functional
46719,2013-02-01,586,non functional
17219,2013-08-03,587,non functional
29658,2011-03-29,588,functional
14992,2013-03-18,589,non functional
56386,2011-07-21,590,non functional
8757,2011-03-24,591,functional
13727,2012-10-29,592,non functional
22928,2013-06-03,593,non functional
63748,2013-01-14,594,non functional
42195,2011-04-10,595,functional needs repair
36067,2013-02-11,596,functional needs repair
54113,2013-01-20,597,functional
59405,2011-04-14,598,functional
62511,2013-01-20,599,functional
23315,2012-10-04,600,functional
40509,2013-01-17,601,functional
45093,2011-03-24,602,non functional
45889,2011-07-26,603,non functional
71634,2012-10-21,604,functional
15250,2011-07-28,605,non functional
32245,2013-01-24,606,functional
3777,2011-07-16,607,functional
71658,2011-03-25,608,non functional
48546,2011-04-07,609,non functional
11957,2011-04-14,610,functional needs repair
49862,2013-03-18,611,non functional
38775,2012-10-16,612,functional
66760,2013-02-14,613,functional
61574,2011-08-02,614,functional
57395,2013-01-30,615,functional
21830,2012-11-15,616,non functional
25165,2011-03-14,618,functional needs repair
67199,2011-08-05,619,functional
22385,2011-03-23,620,functional
35726,2011-03-04,622,functional
6939,2012-10-19,623,functional
31692,2011-02-24,624,functional
47016,2011-08-11,625,functional
53147,2013-01-27,626,non functional
27776,2011-08-03,627,functional
17242,2011-03-12,628,functional
53218,2011-03-14,629,non functional
60433,2012-10-19,630,functional
48033,2011-04-15,631,functional needs repair
58642,2013-01-25,632,non functional
7420,2013-01-29,633,non functional
11811,2011-07-28,634,functional
54548,2013-03-30,635,non functional
54848,2013-03-14,636,non functional
32336,2011-03-17,637,functional
26535,2013-02-09,638,non functional
71856,2013-02-22,639,functional
53518,2013-01-21,640,non functional
14701,2013-03-16,642,functional
11447,2013-01-21,643,functional needs repair
23819,2011-03-23,644,non functional
27069,2013-11-03,645,non functional
21064,2011-03-20,646,functional
36711,2011-07-31,647,functional
37750,2011-03-08,648,non functional
47102,2011-03-05,649,functional
13734,2011-03-27,650,functional
50708,2013-03-15,651,non functional
38763,2011-03-13,652,functional
38220,2013-02-07,653,functional
5060,2013-02-11,654,functional needs repair
29153,2013-01-24,655,functional needs repair
53985,2012-10-27,656,non functional
6519,2013-03-06,657,functional
47117,2013-02-23,658,non functional
46110,2013-01-16,660,non functional
72474,2011-03-31,661,functional
623,2013-01-25,662,non functional
27561,2013-05-03,663,functional
52067,2013-03-22,664,non functional
6757,2011-03-26,665,functional
54596,2012-10-15,666,functional
67545,2011-08-08,667,functional
51355,2012-10-22,668,non functional
28846,2011-03-20,669,functional
13685,2011-03-11,670,functional
7863,2011-07-12,671,non functional
55543,2013-02-13,672,functional
23407,2011-03-11,674,non functional
57452,2013-03-01,675,functional
42339,2011-03-23,676,functional
42491,2013-05-03,677,functional
7936,2011-07-23,680,functional needs repair
40427,2013-01-24,681,non functional
64144,2011-03-09,682,functional
15188,2012-10-17,683,functional
25220,2013-02-18,684,functional
59031,2011-02-22,685,non functional
69979,2011-07-29,686,functional
25199,2012-10-19,687,functional
70644,2013-09-02,688,functional
7841,2013-01-18,689,non functional
32699,2012-10-02,690,non functional
25339,2011-04-04,691,functional needs repair
53106,2011-04-08,692,functional
39953,2012-10-03,693,non functional
22679,2011-04-10,694,functional
32012,2013-02-09,695,functional
35007,2011-03-11,696,non functional
54670,2011-03-05,698,non functional
57293,2012-11-05,700,functional
50001,2013-01-25,701,non functional
6002,2013-03-19,702,non functional
46231,2013-03-20,703,functional
54599,2012-11-15,705,functional
26302,2013-02-26,706,non functional
24052,2011-07-13,707,functional
11362,2012-11-08,708,non functional
4554,2011-03-11,709,functional
3873,2011-02-15,710,non functional
1856,2011-03-19,711,functional
19574,2013-02-10,712,functional needs repair
3843,2012-10-24,713,functional
71216,2011-07-12,714,non functional
42487,2013-03-10,715,non functional
19869,2013-03-17,716,non functional
71891,2012-10-08,717,functional
5875,2013-01-17,718,non functional
63423,2013-07-03,719,functional
880,2011-03-08,721,functional
28306,2013-02-06,722,non functional
69377,2013-01-25,723,non functional
492,2012-10-23,724,non functional
11641,2011-07-06,725,non functional
69883,2013-03-19,726,functional
8709,2013-02-14,727,functional
8316,2013-03-20,728,functional
32164,2011-08-04,729,functional
49888,2013-01-22,730,non functional
17809,2011-03-11,731,non functional
71837,2012-10-05,732,functional
64333,2013-01-22,734,functional
39105,2013-02-16,735,functional
13866,2012-10-29,736,non functional
42943,2013-01-23,737,functional
42959,2013-01-17,738,functional needs repair
27736,2011-03-13,739,functional needs repair
68179,2011-07-08,740,functional
19672,2011-03-31,741,functional
37322,2013-03-23,742,functional needs repair
25766,2012-12-13,744,non functional
70897,2011-08-25,745,non functional
61759,2013-02-06,746,functional
64031,2011-03-17,747,functional
18488,2011-03-21,748,functional
13501,2013-04-04,749,non functional
26856,2011-02-25,750,non functional
59448,2011-07-25,751,functional
56471,2013-02-23,752,functional
8080,2013-02-06,754,functional
35558,2013-02-08,756,functional
63978,2013-02-01,757,non functional
45566,2013-01-26,758,non functional
61039,2012-10-18,759,functional
71895,2011-07-27,760,functional
968,2013-01-04,761,functional
3995,2004-08-01,762,non functional
1604,2011-08-25,763,functional needs repair
53188,2013-02-14,764,functional needs repair
5562,2011-03-21,765,functional
10976,2013-01-18,766,non functional
18814,2011-03-04,767,non functional
43732,2011-03-08,768,functional
72282,2013-03-17,769,functional needs repair
69101,2013-01-17,770,functional needs repair
25947,2011-07-07,771,functional
43149,2011-03-20,772,non functional
50383,2013-03-03,773,functional
49431,2013-01-19,774,functional
45744,2011-04-06,775,functional needs repair
18848,2011-07-28,776,non functional
711,2013-02-22,777,non functional
6044,2011-04-09,778,non functional
2940,2013-01-30,779,non functional
57305,2011-04-01,780,non functional
58286,2012-12-14,781,functional
66643,2011-04-01,782,functional
12756,2013-03-04,783,functional
15545,2011-02-23,784,functional
47221,2012-10-19,785,functional
2414,2013-02-22,786,functional
11497,2011-04-03,787,non functional
71236,2012-10-31,788,functional
26174,2011-03-07,789,non functional
14985,2013-06-03,790,functional
41560,2012-10-18,791,functional
26204,2011-08-04,792,functional
37757,2013-03-14,794,non functional
59179,2012-10-21,795,functional
1981,2011-03-08,796,functional
72237,2013-03-15,797,functional
23732,2011-07-23,799,functional
47193,2011-02-22,800,non functional
5464,2013-02-25,801,non functional
57085,2011-08-07,802,functional
59694,2013-02-24,803,non functional
56708,2011-03-15,804,functional
3091,2011-04-16,805,functional
37039,2013-05-04,806,non functional
13201,2013-01-24,807,functional
10527,2011-02-23,808,non functional
40666,2012-10-22,809,non functional
47783,2013-01-30,810,non functional
47756,2013-01-24,811,non functional
11388,2011-08-05,813,functional
1605,2011-03-10,814,non functional
10065,2011-04-02,815,non functional
72943,2011-04-03,816,non functional
38507,2011-04-18,817,functional needs repair
54163,2011-03-24,818,non functional
27790,2011-04-01,819,functional
70237,2013-01-17,821,functional
47075,2011-03-30,822,non functional
61558,2013-02-28,823,functional
28921,2011-07-31,824,non functional
50641,2011-07-18,827,non functional
1074,2011-04-05,828,non functional
68641,2013-02-15,829,functional
40102,2011-03-15,830,functional
51665,2013-07-02,831,non functional
13739,2011-04-04,832,functional
60171,2011-07-30,833,functional
18825,2013-04-04,834,functional
7942,2013-02-27,835,non functional
60688,2011-03-06,836,functional
9401,2011-03-14,837,functional
58495,2012-10-05,838,non functional
17569,2013-03-13,840,functional
14438,2013-02-05,841,functional
52390,2011-07-18,842,non functional
37241,2011-03-07,843,functional
37507,2013-02-21,844,functional
2829,2012-10-22,845,non functional
16672,2011-04-14,847,functional
4778,2011-07-08,848,functional
55567,2013-03-22,849,functional
11871,2011-07-15,850,non functional
27571,2011-03-03,851,functional
13555,2011-03-04,852,non functional
23465,2013-02-01,853,functional needs repair
28822,2012-11-12,854,non functional
50898,2011-08-01,855,functional
53006,2011-03-23,856,functional
56631,2013-03-20,857,functional
4672,2011-07-12,859,functional
35778,2011-03-13,860,non functional
70424,2011-07-26,861,non functional
58389,2013-01-23,862,non functional
11695,2013-01-21,863,non functional
37915,2011-07-31,864,non functional
65995,2013-01-29,865,functional
8988,2011-03-11,866,functional
12598,2013-02-26,867,functional
34130,2013-02-15,868,non functional
28032,2011-02-26,869,functional
72055,2011-04-04,870,functional needs repair
14727,2013-02-26,871,functional
7784,2011-07-13,872,non functional
44120,2011-03-07,873,functional
56277,2011-03-27,876,functional
60410,2011-07-13,877,functional
61169,2013-02-18,878,functional
22244,2011-07-28,879,non functional
61060,2011-02-25,880,functional
33006,2013-11-03,881,functional
6988,2013-03-21,882,functional
23156,2011-03-11,883,non functional
54772,2011-02-25,884,non functional
19362,2013-01-23,885,functional
60535,2011-02-02,886,functional
54055,2012-10-08,887,functional
48519,2013-01-27,889,non functional
33946,2013-02-02,890,non functional
68894,2011-03-21,891,functional
36606,2012-10-23,892,functional
72553,2012-10-07,893,functional
13987,2013-01-20,894,non functional
20639,2011-04-08,895,non functional
21896,2011-03-25,896,functional
25354,2011-02-25,897,functional
24752,2013-04-03,898,functional
7691,2013-03-16,899,functional
61992,2013-02-06,900,non functional
19080,2011-08-25,901,functional
34305,2013-01-17,902,non functional
36513,2013-03-28,903,functional
41986,2013-03-26,904,functional
36255,2013-02-21,905,non functional
28016,2013-01-31,906,functional
55033,2011-03-12,907,functional
18928,2011-07-10,908,functional
44976,2012-10-18,909,functional
7296,2011-04-17,910,functional
15643,2011-03-31,912,functional
1817,2013-03-13,913,functional
15975,2013-01-22,914,non functional
22396,2011-07-05,915,non functional
2547,2011-04-11,916,functional
24638,2013-02-01,917,functional needs repair
47697,2012-10-26,918,non functional
25000,2012-10-26,919,functional
52461,2013-02-09,920,non functional
49160,2011-04-12,921,non functional
42590,2013-02-28,922,non functional
65061,2011-07-24,923,non functional
25243,2011-03-23,924,non functional
69136,2012-10-08,926,functional
25367,2011-04-17,928,functional
53109,2011-07-26,929,non functional
18169,2011-03-19,930,functional
18729,2011-03-04,931,functional
40750,2011-03-09,932,non functional
16363,2011-03-31,933,non functional
52686,2011-07-28,935,functional
50841,2011-06-04,936,functional
12656,2013-02-25,937,non functional
21315,2013-02-04,938,functional
73274,2012-11-08,940,non functional
20697,2011-08-05,941,non functional
5009,2013-03-30,942,functional
19781,2013-02-27,943,non functional
56226,2011-03-05,944,non functional
69168,2013-03-13,945,functional
26962,2013-01-28,946,functional
43964,2011-03-15,947,functional
72849,2013-03-04,948,non functional
15974,2011-03-10,949,non functional
5071,2011-02-25,950,functional
44480,2013-02-15,951,functional
54327,2011-03-03,952,non functional
55560,2011-08-05,953,functional
5563,2011-07-14,954,functional
44490,2012-10-12,955,non functional
4379,2013-01-30,956,non functional
58526,2011-03-26,957,functional
41227,2011-04-18,958,non functional
9069,2013-02-18,959,functional
42342,2011-08-03,961,non functional
5455,2011-08-04,962,functional
39280,2011-03-19,963,non functional
43079,2011-04-02,964,non functional
17088,2011-03-11,966,functional
61476,2013-02-01,967,functional
44578,2013-02-04,968,non functional
46507,2011-02-26,969,functional
38201,2011-04-02,970,functional
20347,2013-03-07,972,non functional
72772,2011-07-06,973,non functional
52991,2012-10-04,974,non functional
16923,2011-04-09,976,functional
22283,2013-01-21,977,functional
