ws_id,extraction_type_class,quality_group,waterpoint_type_group
165,motorpump,good,communal standpipe
166,submersible,salty,other
167,other,good,other
169,gravity,good,communal standpipe
170,gravity,good,communal standpipe
171,gravity,good,communal standpipe
172,submersible,good,communal standpipe
173,handpump,good,hand pump
174,other,salty,other
175,gravity,good,communal standpipe
176,handpump,fluoride,hand pump
178,handpump,good,hand pump
179,gravity,good,communal standpipe
181,submersible,good,communal standpipe
182,gravity,good,communal standpipe
183,handpump,good,hand pump
184,handpump,salty,hand pump
186,handpump,good,hand pump
187,handpump,good,hand pump
188,gravity,good,communal standpipe
189,gravity,good,communal standpipe
190,submersible,,communal standpipe
193,submersible,good,communal standpipe
194,gravity,good,communal standpipe
195,motorpump,good,communal standpipe
196,gravity,good,communal standpipe
197,gravity,good,communal standpipe
198,gravity,good,communal standpipe
199,gravity,good,communal standpipe
200,gravity,good,communal standpipe
201,other,,other
202,rope pump,good,hand pump
203,handpump,good,hand pump
204,gravity,colored,other
205,gravity,,improved spring
206,gravity,good,other
207,gravity,good,communal standpipe
208,submersible,good,communal standpipe
209,gravity,good,communal standpipe
210,gravity,good,other
211,gravity,good,communal standpipe
212,other,good,hand pump
213,gravity,,communal standpipe
214,gravity,good,communal standpipe
215,gravity,good,communal standpipe
216,gravity,good,communal standpipe
217,handpump,good,hand pump
218,gravity,good,communal standpipe
219,handpump,good,hand pump
220,other,good,communal standpipe
221,gravity,good,communal standpipe
222,gravity,good,communal standpipe
223,gravity,good,communal standpipe
224,motorpump,good,communal standpipe
225,gravity,good,communal standpipe
226,handpump,good,hand pump
227,handpump,,hand pump
228,handpump,good,hand pump
229,handpump,good,hand pump
230,handpump,good,hand pump
232,submersible,,communal standpipe
233,gravity,good,communal standpipe
234,gravity,good,communal standpipe
235,gravity,good,communal standpipe
236,other,good,other
237,gravity,good,communal standpipe
238,gravity,good,communal standpipe
239,handpump,good,hand pump
240,submersible,good,communal standpipe
241,other,good,other
242,motorpump,good,communal standpipe
243,handpump,good,hand pump
245,gravity,good,communal standpipe
247,gravity,good,communal standpipe
248,gravity,good,communal standpipe
249,handpump,good,hand pump
250,gravity,good,communal standpipe
251,motorpump,salty,communal standpipe
252,gravity,good,communal standpipe
255,other,milky,other
257,other,good,other
259,other,,other
260,other,good,other
261,motorpump,good,communal standpipe
262,motorpump,good,communal standpipe
263,other,good,other
264,gravity,good,communal standpipe
265,gravity,good,communal standpipe
266,gravity,good,improved spring
267,wind-powered,good,communal standpipe
268,gravity,good,communal standpipe
269,motorpump,salty,communal standpipe
270,gravity,good,communal standpipe
271,other,good,hand pump
272,handpump,good,hand pump
273,handpump,good,hand pump
274,gravity,good,communal standpipe
275,gravity,good,communal standpipe
276,gravity,good,communal standpipe
277,other,salty,other
278,gravity,good,communal standpipe
279,submersible,,communal standpipe
280,gravity,good,communal standpipe
281,gravity,good,communal standpipe
282,gravity,good,communal standpipe
283,gravity,good,communal standpipe
284,gravity,good,communal standpipe
286,gravity,good,other
287,handpump,good,hand pump
288,handpump,good,hand pump
289,handpump,good,hand pump
290,gravity,good,communal standpipe
291,handpump,good,hand pump
292,gravity,good,communal standpipe
293,gravity,good,communal standpipe
294,gravity,good,communal standpipe
295,motorpump,good,communal standpipe
296,submersible,good,communal standpipe
298,handpump,good,hand pump
299,handpump,salty,hand pump
300,gravity,good,other
302,handpump,good,hand pump
303,gravity,good,communal standpipe
304,submersible,salty,communal standpipe
305,handpump,good,hand pump
307,gravity,good,communal standpipe
308,gravity,good,communal standpipe
309,handpump,good,hand pump
310,gravity,good,communal standpipe
311,gravity,good,communal standpipe
312,gravity,good,communal standpipe
313,other,good,other
314,handpump,good,hand pump
315,handpump,good,hand pump
316,handpump,good,hand pump
317,other,salty,other
318,gravity,good,communal standpipe
319,gravity,good,communal standpipe
320,handpump,salty,hand pump
322,gravity,good,communal standpipe
324,gravity,good,other
325,submersible,good,communal standpipe
327,gravity,good,communal standpipe
328,gravity,good,communal standpipe
329,motorpump,good,communal standpipe
330,motorpump,salty,communal standpipe
331,gravity,good,communal standpipe
332,handpump,good,hand pump
333,handpump,good,hand pump
334,handpump,good,hand pump
335,handpump,good,hand pump
336,motorpump,good,communal standpipe
337,gravity,good,communal standpipe
338,handpump,good,hand pump
339,handpump,good,hand pump
340,other,good,communal standpipe
341,gravity,good,communal standpipe
342,gravity,good,communal standpipe
343,gravity,good,communal standpipe
344,gravity,good,communal standpipe
345,gravity,good,other
347,gravity,good,communal standpipe
348,gravity,good,communal standpipe
349,handpump,salty,hand pump
350,motorpump,good,communal standpipe
351,submersible,good,communal standpipe
352,handpump,salty,hand pump
353,gravity,good,communal standpipe
354,motorpump,,communal standpipe
355,gravity,good,communal standpipe
356,gravity,good,communal standpipe
357,gravity,good,communal standpipe
358,gravity,good,communal standpipe
359,gravity,good,communal standpipe
360,gravity,good,communal standpipe
361,other,good,other
363,submersible,salty,communal standpipe
364,gravity,good,communal standpipe
365,gravity,good,communal standpipe
366,gravity,good,communal standpipe
367,other,good,communal standpipe
368,handpump,good,hand pump
369,handpump,good,hand pump
371,gravity,colored,communal standpipe
372,handpump,good,hand pump
373,handpump,good,hand pump
374,gravity,good,communal standpipe
375,motorpump,good,communal standpipe
376,handpump,good,hand pump
377,motorpump,good,communal standpipe
378,submersible,good,communal standpipe
379,submersible,salty,communal standpipe
380,submersible,good,communal standpipe
381,gravity,good,communal standpipe
382,gravity,good,communal standpipe
383,handpump,good,hand pump
384,gravity,good,communal standpipe
385,gravity,good,communal standpipe
386,handpump,good,hand pump
387,handpump,good,hand pump
388,gravity,good,communal standpipe
390,handpump,good,hand pump
391,other,good,other
392,gravity,good,communal standpipe
393,other,,other
394,gravity,good,other
395,gravity,good,communal standpipe
397,gravity,good,other
398,handpump,good,hand pump
399,gravity,good,communal standpipe
400,handpump,salty,hand pump
401,gravity,good,communal standpipe
402,other,good,other
403,gravity,good,communal standpipe
404,handpump,good,hand pump
405,handpump,good,hand pump
406,handpump,good,hand pump
408,handpump,salty,hand pump
409,handpump,good,hand pump
410,submersible,good,communal standpipe
412,other,good,other
413,gravity,good,communal standpipe
414,gravity,good,communal standpipe
416,motorpump,good,communal standpipe
417,submersible,good,communal standpipe
418,gravity,good,communal standpipe
419,handpump,good,hand pump
420,gravity,good,communal standpipe
421,gravity,good,communal standpipe
422,other,good,hand pump
423,gravity,colored,communal standpipe
424,handpump,good,hand pump
425,gravity,good,other
426,gravity,good,communal standpipe
427,gravity,good,communal standpipe
428,other,,other
429,gravity,good,communal standpipe
430,gravity,good,communal standpipe
431,handpump,good,hand pump
432,gravity,good,communal standpipe
434,gravity,good,communal standpipe
435,gravity,good,communal standpipe
436,other,good,other
437,handpump,good,hand pump
438,gravity,good,communal standpipe
439,handpump,good,hand pump
440,other,good,other
441,other,good,other
442,gravity,good,communal standpipe
444,handpump,good,hand pump
445,gravity,good,other
446,gravity,good,communal standpipe
447,handpump,good,hand pump
448,gravity,good,communal standpipe
449,gravity,good,communal standpipe
450,submersible,good,communal standpipe
451,submersible,good,communal standpipe
452,gravity,good,communal standpipe
453,gravity,good,communal standpipe
454,gravity,good,communal standpipe
455,handpump,salty,hand pump
456,handpump,good,hand pump
457,gravity,good,communal standpipe
458,handpump,salty,hand pump
459,handpump,good,hand pump
460,gravity,good,communal standpipe
461,submersible,colored,communal standpipe
462,gravity,good,communal standpipe
463,handpump,good,hand pump
464,gravity,good,communal standpipe
465,gravity,good,communal standpipe
466,other,good,hand pump
467,gravity,good,communal standpipe
468,handpump,salty,hand pump
469,handpump,salty,hand pump
470,gravity,good,communal standpipe
471,other,good,other
472,handpump,good,hand pump
473,handpump,good,hand pump
474,handpump,good,hand pump
476,motorpump,good,communal standpipe
477,gravity,good,communal standpipe
478,gravity,good,communal standpipe
479,handpump,good,hand pump
480,gravity,good,communal standpipe
481,handpump,salty,hand pump
482,gravity,good,communal standpipe
483,gravity,good,communal standpipe
484,motorpump,good,communal standpipe
485,other,good,other
486,gravity,good,communal standpipe
487,submersible,salty,communal standpipe
488,gravity,good,communal standpipe
490,submersible,good,communal standpipe
491,handpump,good,hand pump
492,other,good,improved spring
493,handpump,good,hand pump
494,other,good,other
495,submersible,good,communal standpipe
496,gravity,good,communal standpipe
498,other,good,other
499,submersible,good,communal standpipe
500,gravity,good,communal standpipe
501,handpump,salty,hand pump
502,gravity,good,communal standpipe
503,motorpump,salty,other
504,gravity,good,communal standpipe
505,gravity,good,communal standpipe
506,submersible,good,communal standpipe
507,gravity,good,communal standpipe
508,other,good,other
509,gravity,good,communal standpipe
510,handpump,salty,hand pump
511,gravity,good,communal standpipe
512,gravity,good,communal standpipe
513,gravity,good,communal standpipe
514,gravity,good,communal standpipe
515,submersible,salty,other
516,other,good,communal standpipe
517,gravity,,communal standpipe
518,handpump,good,hand pump
519,gravity,good,communal standpipe
520,gravity,good,communal standpipe
521,handpump,good,hand pump
522,gravity,good,communal standpipe
523,motorpump,good,communal standpipe
524,gravity,good,communal standpipe
525,gravity,good,communal standpipe
526,other,,other
527,gravity,good,communal standpipe
528,handpump,good,hand pump
530,handpump,good,hand pump
531,handpump,salty,hand pump
532,submersible,good,communal standpipe
533,handpump,good,hand pump
534,handpump,good,hand pump
535,handpump,salty,hand pump
536,gravity,good,communal standpipe
537,gravity,good,communal standpipe
538,gravity,good,communal standpipe
539,gravity,good,communal standpipe
540,gravity,good,communal standpipe
541,gravity,good,communal standpipe
542,gravity,good,communal standpipe
545,gravity,good,communal standpipe
546,gravity,good,communal standpipe
548,gravity,good,communal standpipe
549,other,good,other
550,handpump,good,hand pump
551,other,,other
553,gravity,good,communal standpipe
554,handpump,salty,hand pump
555,handpump,good,hand pump
556,gravity,good,communal standpipe
557,motorpump,good,communal standpipe
558,handpump,good,hand pump
559,gravity,good,communal standpipe
560,gravity,good,communal standpipe
561,handpump,good,hand pump
562,handpump,good,hand pump
563,gravity,good,communal standpipe
564,gravity,good,communal standpipe
565,submersible,salty,communal standpipe
566,gravity,good,communal standpipe
568,gravity,good,communal standpipe
569,gravity,good,communal standpipe
570,gravity,good,other
571,handpump,good,hand pump
572,handpump,salty,hand pump
573,gravity,good,communal standpipe
574,motorpump,good,communal standpipe
575,gravity,good,communal standpipe
576,handpump,good,hand pump
578,handpump,salty,hand pump
579,gravity,good,communal standpipe
580,handpump,good,hand pump
581,submersible,good,communal standpipe
582,gravity,good,communal standpipe
583,handpump,good,hand pump
584,handpump,,hand pump
585,handpump,good,hand pump
586,gravity,good,communal standpipe
587,gravity,good,communal standpipe
588,motorpump,good,communal standpipe
589,gravity,good,communal standpipe
590,other,good,other
591,gravity,good,communal standpipe
592,handpump,good,hand pump
593,gravity,good,communal standpipe
594,submersible,good,communal standpipe
595,gravity,good,communal standpipe
596,gravity,good,communal standpipe
597,handpump,good,hand pump
598,gravity,good,communal standpipe
599,handpump,good,hand pump
600,rope pump,good,communal standpipe
601,handpump,good,hand pump
602,other,good,other
603,handpump,good,hand pump
604,submersible,milky,communal standpipe
605,handpump,good,hand pump
606,handpump,good,hand pump
607,gravity,good,communal standpipe
608,submersible,good,communal standpipe
609,gravity,good,communal standpipe
610,gravity,good,communal standpipe
611,gravity,good,communal standpipe
612,handpump,good,hand pump
613,handpump,good,hand pump
614,handpump,good,hand pump
615,other,good,communal standpipe
616,submersible,good,communal standpipe
618,gravity,good,communal standpipe
619,handpump,good,hand pump
620,gravity,good,communal standpipe
622,submersible,good,communal standpipe
623,handpump,good,hand pump
624,submersible,good,other
625,gravity,good,other
626,handpump,salty,hand pump
627,gravity,good,communal standpipe
628,handpump,salty,hand pump
629,gravity,good,communal standpipe
630,other,milky,other
631,gravity,good,communal standpipe
632,submersible,good,communal standpipe
633,handpump,salty,hand pump
634,gravity,good,communal standpipe
635,gravity,good,other
636,motorpump,salty,communal standpipe
637,handpump,good,hand pump
638,handpump,good,hand pump
639,gravity,good,communal standpipe
640,gravity,good,communal standpipe
642,gravity,good,communal standpipe
643,submersible,good,communal standpipe
644,submersible,good,communal standpipe
645,gravity,good,communal standpipe
646,submersible,good,communal standpipe
647,gravity,good,communal standpipe
648,other,,other
649,handpump,good,hand pump
650,gravity,good,communal standpipe
651,gravity,good,communal standpipe
652,handpump,milky,hand pump
653,gravity,good,communal standpipe
654,gravity,good,communal standpipe
655,gravity,good,communal standpipe
656,handpump,good,hand pump
657,gravity,good,communal standpipe
658,gravity,good,communal standpipe
660,handpump,good,hand pump
661,gravity,good,communal standpipe
662,handpump,salty,hand pump
663,handpump,good,hand pump
664,gravity,good,communal standpipe
665,submersible,colored,communal standpipe
666,handpump,good,hand pump
667,handpump,good,hand pump
668,submersible,good,communal standpipe
669,gravity,good,communal standpipe
670,gravity,good,communal standpipe
671,handpump,good,hand pump
672,handpump,good,hand pump
674,handpump,salty,hand pump
675,gravity,good,communal standpipe
676,gravity,good,communal standpipe
677,submersible,good,communal standpipe
680,gravity,good,communal standpipe
681,handpump,good,hand pump
682,submersible,good,communal standpipe
683,handpump,good,hand pump
684,gravity,good,communal standpipe
685,gravity,good,communal standpipe
686,gravity,good,communal standpipe
687,handpump,good,hand pump
688,gravity,good,communal standpipe
689,motorpump,,communal standpipe
690,other,good,other
691,gravity,good,communal standpipe
692,gravity,good,communal standpipe
693,other,good,other
694,gravity,good,communal standpipe
695,handpump,good,hand pump
696,other,salty,other
698,handpump,good,hand pump
700,handpump,good,hand pump
701,handpump,good,hand pump
702,submersible,good,communal standpipe
703,gravity,good,communal standpipe
705,handpump,good,hand pump
706,handpump,good,hand pump
707,handpump,colored,hand pump
708,gravity,good,other
709,handpump,good,hand pump
710,gravity,good,communal standpipe
711,gravity,good,communal standpipe
712,gravity,good,communal standpipe
713,handpump,salty,hand pump
714,motorpump,good,communal standpipe
715,gravity,good,other
716,gravity,good,communal standpipe
717,handpump,salty,hand pump
718,other,good,other
719,gravity,good,communal standpipe
721,other,good,other
722,handpump,good,hand pump
723,handpump,good,hand pump
724,gravity,,communal standpipe
725,handpump,good,hand pump
726,gravity,good,communal standpipe
727,submersible,good,communal standpipe
728,submersible,salty,other
729,gravity,good,communal standpipe
730,handpump,good,hand pump
731,other,good,other
732,handpump,good,hand pump
734,motorpump,good,communal standpipe
735,handpump,good,hand pump
736,handpump,milky,hand pump
737,handpump,good,hand pump
738,gravity,good,communal standpipe
739,motorpump,good,communal standpipe
740,gravity,good,communal standpipe
741,gravity,,communal standpipe
742,gravity,good,communal standpipe
744,other,good,communal standpipe
745,other,good,other
746,submersible,good,communal standpipe
747,gravity,good,communal standpipe
748,gravity,good,communal standpipe
749,gravity,good,other
750,other,good,other
751,gravity,good,communal standpipe
752,gravity,good,communal standpipe
754,motorpump,good,communal standpipe
756,gravity,good,communal standpipe
757,motorpump,good,communal standpipe
758,other,good,other
759,handpump,good,hand pump
760,motorpump,good,communal standpipe
761,gravity,good,communal standpipe
762,handpump,,hand pump
763,gravity,good,communal standpipe
764,handpump,good,hand pump
765,gravity,good,communal standpipe
766,motorpump,salty,communal standpipe
767,gravity,good,communal standpipe
768,gravity,good,communal standpipe
769,submersible,good,communal standpipe
770,motorpump,good,communal standpipe
771,handpump,good,hand pump
772,submersible,good,communal standpipe
773,handpump,good,hand pump
774,gravity,good,communal standpipe
775,gravity,good,communal standpipe
776,other,good,other
777,other,,other
778,motorpump,good,communal standpipe
779,submersible,good,communal standpipe
780,motorpump,good,communal standpipe
781,handpump,good,hand pump
782,submersible,good,communal standpipe
783,gravity,good,communal standpipe
784,handpump,good,hand pump
785,handpump,salty,hand pump
786,gravity,good,communal standpipe
787,gravity,good,communal standpipe
788,gravity,good,communal standpipe
789,submersible,good,communal standpipe
790,gravity,fluoride,communal standpipe
791,handpump,good,hand pump
792,gravity,good,communal standpipe
794,gravity,good,communal standpipe
795,handpump,good,hand pump
796,motorpump,good,communal standpipe
797,other,,other
799,handpump,good,hand pump
800,gravity,good,communal standpipe
801,submersible,good,communal standpipe
802,submersible,good,hand pump
803,handpump,good,hand pump
804,handpump,good,hand pump
805,gravity,good,communal standpipe
806,gravity,good,communal standpipe
807,other,good,communal standpipe
808,gravity,good,communal standpipe
809,submersible,good,communal standpipe
810,submersible,good,communal standpipe
811,other,,other
813,handpump,good,hand pump
814,handpump,good,hand pump
815,other,salty,other
816,gravity,good,communal standpipe
817,gravity,good,communal standpipe
818,submersible,good,communal standpipe
819,submersible,salty,communal standpipe
821,handpump,salty,hand pump
822,submersible,good,communal standpipe
823,gravity,good,communal standpipe
824,gravity,good,communal standpipe
827,other,salty,hand pump
828,other,good,cattle trough
829,submersible,good,communal standpipe
830,gravity,good,communal standpipe
831,gravity,good,communal standpipe
832,gravity,good,communal standpipe
833,gravity,good,communal standpipe
834,gravity,good,communal standpipe
835,gravity,good,other
836,gravity,good,communal standpipe
837,gravity,good,communal standpipe
838,handpump,good,hand pump
840,submersible,salty,communal standpipe
841,handpump,good,hand pump
842,handpump,good,hand pump
843,submersible,good,communal standpipe
844,submersible,good,communal standpipe
845,handpump,good,hand pump
847,gravity,good,communal standpipe
848,gravity,good,communal standpipe
849,submersible,good,communal standpipe
850,gravity,,communal standpipe
851,handpump,,hand pump
852,other,salty,hand pump
853,gravity,good,other
854,motorpump,good,communal standpipe
855,handpump,good,hand pump
856,handpump,good,hand pump
857,handpump,good,hand pump
859,gravity,good,communal standpipe
860,other,good,other
861,submersible,good,communal standpipe
862,submersible,good,communal standpipe
863,other,good,hand pump
864,handpump,good,hand pump
865,handpump,good,hand pump
866,gravity,good,communal standpipe
867,submersible,salty,communal standpipe
868,gravity,good,communal standpipe
869,submersible,good,communal standpipe
870,gravity,good,communal standpipe
871,gravity,good,communal standpipe
872,gravity,colored,improved spring
873,submersible,good,communal standpipe
876,handpump,good,hand pump
877,gravity,good,improved spring
878,gravity,good,communal standpipe
879,gravity,good,other
880,motorpump,good,communal standpipe
881,gravity,good,communal standpipe
882,gravity,good,communal standpipe
883,gravity,good,communal standpipe
884,motorpump,good,communal standpipe
885,handpump,milky,hand pump
886,handpump,good,hand pump
887,handpump,good,hand pump
889,other,good,other
890,other,,other
891,gravity,good,communal standpipe
892,handpump,good,hand pump
893,handpump,good,hand pump
894,other,good,communal standpipe
895,other,salty,other
896,gravity,good,communal standpipe
897,motorpump,good,communal standpipe
898,gravity,good,communal standpipe
899,gravity,good,communal standpipe
900,handpump,good,hand pump
901,gravity,good,communal standpipe
902,other,milky,other
903,gravity,good,communal standpipe
904,gravity,good,communal standpipe
905,gravity,good,communal standpipe
906,motorpump,good,communal standpipe
907,handpump,good,hand pump
908,handpump,good,hand pump
909,handpump,milky,hand pump
910,gravity,good,communal standpipe
912,handpump,colored,hand pump
913,submersible,good,communal standpipe
914,other,good,other
915,other,good,other
916,handpump,salty,hand pump
917,gravity,good,communal standpipe
918,other,good,other
919,gravity,good,communal standpipe
920,submersible,good,communal standpipe
921,gravity,good,communal standpipe
922,other,,other
923,other,milky,other
924,submersible,good,communal standpipe
926,handpump,good,hand pump
928,gravity,good,communal standpipe
929,submersible,good,communal standpipe
930,motorpump,good,communal standpipe
931,gravity,good,communal standpipe
932,other,good,other
933,handpump,good,hand pump
935,other,good,other
936,gravity,good,communal standpipe
937,handpump,good,hand pump
938,gravity,good,communal standpipe
940,handpump,salty,hand pump
941,motorpump,good,communal standpipe
942,gravity,good,communal standpipe
943,motorpump,good,communal standpipe
944,submersible,salty,communal standpipe
945,gravity,good,communal standpipe
946,other,,other
947,gravity,good,communal standpipe
948,submersible,salty,other
949,handpump,good,hand pump
950,submersible,salty,communal standpipe
951,gravity,good,communal standpipe
952,gravity,salty,communal standpipe
953,gravity,good,communal standpipe
954,handpump,good,hand pump
955,other,good,other
956,gravity,good,communal standpipe
957,handpump,good,hand pump
958,rope pump,good,hand pump
959,handpump,good,hand pump
961,handpump,good,hand pump
962,handpump,good,hand pump
963,gravity,good,communal standpipe
964,handpump,good,hand pump
966,motorpump,salty,communal standpipe
967,submersible,good,communal standpipe
968,handpump,good,hand pump
969,motorpump,good,communal standpipe
970,handpump,good,hand pump
972,gravity,good,communal standpipe
973,gravity,good,communal standpipe
974,gravity,good,communal standpipe
976,handpump,salty,hand pump
977,gravity,,communal standpipe
978,gravity,good,communal standpipe
979,submersible,good,communal standpipe
980,gravity,good,communal standpipe
981,handpump,good,hand pump
982,other,good,hand pump
983,other,,other
984,handpump,good,hand pump
985,handpump,good,hand pump
986,handpump,good,hand pump
987,handpump,good,hand pump
989,gravity,good,communal standpipe
990,gravity,good,communal standpipe
991,submersible,good,communal standpipe
993,gravity,good,communal standpipe
994,motorpump,good,communal standpipe
995,gravity,good,communal standpipe
996,gravity,,communal standpipe
997,gravity,good,communal standpipe
998,gravity,good,communal standpipe
999,gravity,good,communal standpipe
1000,gravity,good,communal standpipe
1001,handpump,salty,hand pump
1002,gravity,good,communal standpipe
1003,other,milky,other
1004,gravity,,communal standpipe
1005,gravity,good,communal standpipe
1006,submersible,good,communal standpipe
1008,other,milky,other
1009,handpump,,other
1010,gravity,good,communal standpipe
1011,other,salty,communal standpipe
1012,gravity,good,communal standpipe
1013,motorpump,good,communal standpipe
1014,gravity,good,communal standpipe
1015,gravity,good,communal standpipe
1016,handpump,good,hand pump
1017,other,good,other
1018,gravity,good,communal standpipe
1019,other,milky,other
1020,submersible,,communal standpipe
1021,handpump,good,hand pump
1022,gravity,good,communal standpipe
1023,gravity,good,communal standpipe
1024,motorpump,good,communal standpipe
1025,handpump,good,hand pump
1026,handpump,salty,hand pump
1027,gravity,good,communal standpipe
1028,handpump,milky,hand pump
1029,gravity,good,communal standpipe
1030,gravity,good,communal standpipe
1031,gravity,good,other
1032,other,good,other
1033,other,good,communal standpipe
1034,gravity,good,other
1035,gravity,good,other
1036,gravity,good,other
1037,gravity,good,communal standpipe
1038,handpump,good,hand pump
1039,submersible,good,communal standpipe
1040,submersible,good,communal standpipe
1042,gravity,good,communal standpipe
1043,gravity,good,communal standpipe
1044,handpump,good,hand pump
1045,handpump,good,hand pump
1047,gravity,good,communal standpipe
1049,submersible,good,communal standpipe
1050,other,good,communal standpipe
1051,submersible,good,communal standpipe
1052,gravity,good,communal standpipe
1053,gravity,good,communal standpipe
1055,gravity,good,communal standpipe
1056,gravity,good,communal standpipe
1057,other,salty,other
1058,submersible,good,communal standpipe
1059,gravity,good,other
1060,handpump,good,hand pump
1061,gravity,good,communal standpipe
1063,handpump,good,hand pump
1064,gravity,good,communal standpipe
1065,gravity,good,communal standpipe
1066,handpump,good,hand pump
1067,motorpump,good,communal standpipe
1068,submersible,good,communal standpipe
1069,motorpump,salty,other
1070,submersible,good,communal standpipe
1071,handpump,salty,hand pump
1072,other,good,hand pump
1073,gravity,good,communal standpipe
1074,handpump,good,hand pump
1075,gravity,good,communal standpipe
1076,gravity,good,communal standpipe
1078,gravity,good,communal standpipe
1080,handpump,good,hand pump
1081,submersible,,communal standpipe
1082,motorpump,good,communal standpipe
1083,gravity,good,communal standpipe
1084,handpump,good,hand pump
1085,handpump,good,hand pump
1087,other,good,communal standpipe
1088,handpump,salty,hand pump
1089,gravity,,communal standpipe
1090,gravity,good,communal standpipe
1091,other,salty,other
1092,gravity,good,communal standpipe
1093,handpump,good,hand pump
1094,handpump,good,hand pump
1095,handpump,good,hand pump
1096,other,salty,other
1097,gravity,salty,communal standpipe
1098,handpump,salty,hand pump
1099,gravity,good,communal standpipe
1100,gravity,good,communal standpipe
1101,gravity,good,improved spring
1102,other,good,other
1103,gravity,good,communal standpipe
1104,handpump,good,hand pump
1105,other,good,other
1106,gravity,good,communal standpipe
1107,handpump,good,other
1108,handpump,good,hand pump
1109,handpump,good,hand pump
